Insurance,Type,Name,Indication,Carrier,Status,TimeRequirementType,TimeRequirementValue,CompleteRule
FEX,Condition,ADHD,General,American Amicable (Platinum Solution Legacy Plan),Approved,none,,
FEX,Condition,ADHD,General,American Amicable (Family Protector Legacy Plan),Approved,none,,
FEX,Condition,ADHD,General,Pekin (Final Expense),Approved,none,,
FEX,Condition,ADHD,General,Transamerica (Express),Approved,none,,
FEX,Condition,ADHD,General,American Home Life (Patriot Series),Approved,none,,
FEX,Condition,ADHD,General,Security National (Loyalty Plan),Approved,none,,
FEX,Condition,ADHD,General,American Home Life (GuideStar 45+),Approved,none,,
FEX,Condition,ADHD,General,Lincoln Heritage,Approved,none,,
FEX,Condition,ADHD,General,Catholic Financial (Graded Whole Life),Approved,none,,
FEX,Condition,ADHD,General,Better Life,Approved,none,,
FEX,Condition,ADHD,General,Gerber,Approved,none,,
FEX,Condition,ADHD,General,Fidelity Life (RAPIDecision Guaranteed Issue),Approved,none,,
FEX,Condition,ADHD,General,AIG (GIWL),Approved,none,,
FEX,Condition,ADHD,General,Mountain Life,Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (Family Legacy),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Senior Life (Platinum Protection),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,American Amicable (Family Choice),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Liberty Bankers (Home Service),Not Available,none,,Liberty Bankers (Home Service) is not available for underwriting.
FEX,Condition,ADHD,General,Baltimore Life (iProvide 70+),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Americo,Not Available,none,,Americo is not available for underwriting.
FEX,Condition,ADHD,General,Occidental Life (Dignity Solutions),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Peace of Mind Family Plan),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (Platinum Solution Family Plan),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Occidental Life (Senior Choice),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (Peace of Mind NC),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Peace of Mind),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,First Guaranty,Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (Family Solution),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Occidental Life (Family Choice),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Peace of Mind NC),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (American Legacy),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Family Protector Family Plan),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,KSKJ,Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Platinum Solution Legacy Plan),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Royal Neighbors (Jet Whole Life),Not Available,none,,Royal Neighbors (Jet Whole Life) is not available for underwriting.
FEX,Condition,ADHD,General,Aetna (Protection Series) (MT),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Royal Arcanum (Graded Benefit),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Occidental Life (Family Legacy),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Family Benefit Life,Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Innovative Choice),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Baltimore Life (aPriority 0-49),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Cica Life (Superior Choice),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,CVS (Aetna Accendo) (MT),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (American Guardian),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Guarantee Trust Life,Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Baltimore Life (aPriority 50+),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Occidental Life (Innovative Solutions),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (Innovative Choice),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Polish Falcons,Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Family Solution),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Platinum Solution Family Plan),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Cincinnati Equitable,Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Bankers Fidelity Final Expense (MT),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,Occidental Life (Family Protector Legacy Plan),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Home Life (GuideStar 0-44),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Occidental Life (American Guardian),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (Peace of Mind Family Plan),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,ADHD,General,Occidental Life (Golden Solution),Approved,none,,Not offered in TX
FEX,Condition,ADHD,General,American Amicable (Family Protector Family Plan),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Royal Arcanum (Whole Life),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Lafayette Life,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Royal Arcanum (SIWL),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Baltimore Life (iProvide 45-69),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Aetna (Protection Series),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Transamerica (Express),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Lincoln Heritage,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Catholic Financial (Graded Whole Life),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Better Life,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Gerber,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Home Life (GuideStar 45+),Approved,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), GuideStar Graded"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Cica Life (Superior Choice),Approved,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Citizens/CICA Life (Final Expense) Guaranteed"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Fidelity Life (RAPIDecision Guaranteed Issue),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,AIG (GIWL),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Elco (Silver Eagle),Approved,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Silver Eagle Guaranteed Issue"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Transamerica (Solutions),Approved,time_based,2,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 2 years, Easy Solution Graded"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Mountain Life,Approved,none,,Not offered in TX
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Family Legacy),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Bankers Fidelity Final Expense,Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Liberty Bankers,Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Royal Neighbors (Ensured Legacy),Approved,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Ensured Legacy Guaranteed Issue | No rate available for $25,000.00 at age 51."
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Senior Life (Platinum Protection),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (American Legacy),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Peace of Mind),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Lifeshield,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Family Choice),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Illinois Mutual (Path Protector Plus),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,CVS (Aetna Accendo),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Home Life (Patriot Series),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Liberty Bankers (Home Service),Not Available,none,,Liberty Bankers (Home Service) is not available for underwriting.
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Baltimore Life (iProvide 70+),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Americo,Not Available,none,,Americo is not available for underwriting.
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Dignity Solutions),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Peace of Mind Family Plan),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Platinum Solution Legacy Plan),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Aflac (Final Expense),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,AIG (SIWL),Decline,none,,"If ""Is assistance currently being received due to a chronic or debilitating condition?"" answered ""Yes"" , Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Platinum Solution Family Plan),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Innovative Solutions),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Senior Choice),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Pekin (Final Expense),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Foresters (PlanRight),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Peace of Mind NC),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Peace of Mind),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Sentinel,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,First Guaranty,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Family Solution),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Family Choice),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,LCBA (Loyal Christian Benefit Association),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Peace of Mind NC),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Standard Life,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (American Legacy),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Family Protector Family Plan),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,KSKJ,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Platinum Solution Legacy Plan),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Royal Neighbors (Jet Whole Life),Not Available,none,,Royal Neighbors (Jet Whole Life) is not available for underwriting.
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Aetna (Protection Series) (MT),Approved,none,,Not offered in TX
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Royal Arcanum (Graded Benefit),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Senior Choice),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Family Legacy),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Dignity Solutions),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Family Benefit Life,Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 6 months, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Christian Fidelity,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Innovative Choice),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Baltimore Life (aPriority 0-49),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,CVS (Aetna Accendo) (MT),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (American Guardian),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,UHL,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Guarantee Trust Life,Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Baltimore Life (aPriority 50+),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Family Protector Legacy Plan),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,GPM,Approved,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), SECURE-Mark Modified | No rate available for $25,000.00 at age 51."
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Innovative Solutions),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Innovative Choice),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Polish Falcons,Approved,none,,Not offered in TX
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Security National (Loyalty Plan),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Oxford,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Family Solution),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Platinum Solution Family Plan),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Cincinnati Equitable,Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Bankers Fidelity Final Expense (MT),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Mutual of Omaha (Living Promise),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Family Protector Legacy Plan),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Trinity Life,Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 6 months, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Home Life (GuideStar 0-44),Approved,none,,"No rate available for $25,000.00 at age 51."
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (American Guardian),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Baltimore Life (Silver Guard),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,SBLI (Living Legacy),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Peace of Mind Family Plan),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Occidental Life (Golden Solution),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Family Protector Family Plan),Decline,none,,"If treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc) within 1 year, Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,American Amicable (Golden Solution),Decline,permanent,,"If ever treated for ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc), Decline"
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Standard Life,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Christian Fidelity,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Lifeshield,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Trinity Life,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Sentinel,Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,LCBA (Loyal Christian Benefit Association),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Illinois Mutual (Path Protector Plus),Approved,none,,
FEX,Condition,"ADLs - Activities of Daily Living (Eating, Bathing, Dressing, etc)",General,Transamerica (Solutions),Approved,none,,
